modelo,accuracy,precision,recall,F1,ROC_AUC,PR_AUC,TN,FP,FN,TP
Gradient Boosting,0.9256756756756757,0.8064516129032258,0.6097560975609756,0.6944444444444444,0.9523672883787662,0.7789909706140922,249,6,16,25
Logística balanceada,0.8614864864864865,0.5,0.8780487804878049,0.6371681415929203,0.9442372070779532,0.8008214460668004,219,36,5,36
Árbol balanceado,0.8716216216216216,0.5254237288135594,0.7560975609756098,0.62,0.9007651841224295,0.7042421160532895,227,28,10,31
Random Forest balanceado,0.9087837837837838,0.7692307692307693,0.4878048780487805,0.5970149253731343,0.9511238641798183,0.7805068756572059,249,6,21,20
Dummy prior,0.8614864864864865,0.0,0.0,0.0,0.5,0.13851351351351351,255,0,41,0
